Graphtreon,Name,Category,Patrons,Earnings,Range,"Is Nsfw","Facebook Likes","Twitter Followers","Youtube Subscribers","Youtube Videos","Youtube Views"
https://graphtreon.com/creator/freebsdgirl,"Randi Harper",Games,413,2780.35,month,0,,,,,
https://graphtreon.com/creator/thegreatwar,"Indy Neidell",Video,413,2310.5,month,0,,,,,
https://graphtreon.com/creator/zombieorpheus,"Zombie Orpheus Entertainment",Games,418,4383,month,0,,,,,
https://graphtreon.com/creator/rebecca,"Rebecca Watson",Video,396,936.5,Video,0,,,,,
https://graphtreon.com/creator/shotgunshuffle,"Shotgun Shuffle",Comics,396,1806.53,month,0,,,,,
https://graphtreon.com/creator/sugargeekshow,"Sugar Geek Show",Video,396,3236,"cake tutorial",0,,,,,
https://graphtreon.com/creator/carbotanimations,"CarBot Animations",Animation,391,1508.67,Cartoon,0,,,,,
https://graphtreon.com/creator/CanalDoOtario,"Canal do Otario",Video,395,2601.7,month,0,,,,,
https://graphtreon.com/creator/filmcow,FilmCow,Animation,375,918.58,month,0,,,,,
https://graphtreon.com/creator/taylordavis,"Taylor Davis",Music,374,1926,"performance video",0,,,,,
https://graphtreon.com/creator/millennial,#Millennial,Podcasts,376,1917.69,month,0,,,,,
https://graphtreon.com/creator/foundmyfitness,"Dr. Rhonda Patrick (FoundMyFitness)",Video,373,3050.75,month,0,,,,,
https://graphtreon.com/creator/UltraHypnosis,"UltraHypnosis & Fiona Clearwater","Adult Video",372,1649.01,month,1,,,,,
https://graphtreon.com/creator/kinagrannis,"Kina Grannis",Music,362,2165,Video,0,,,,,
https://graphtreon.com/creator/xmattie,mattie,Games,364,1235.54,month,0,,,,,
https://graphtreon.com/creator/shamusyoung,"Shamus Young",Games,361,1637.39,month,0,,,,,
https://graphtreon.com/creator/shiga,"Jason Shiga",Comics,359,1794.34,month,0,,,,,
https://graphtreon.com/creator/LevniYilmaz,"Levni Yilmaz",Video,355,1521.81,month,0,,,,,
https://graphtreon.com/creator/hooked,Hooked,Games,351,2630.88,month,0,,,,,
https://graphtreon.com/creator/sfdebris,"SF Debris",Video,349,3209.83,month,0,,,,,
https://graphtreon.com/creator/eevblog,"Dave Jones",Video,348,1415.83,month,0,,,,,
https://graphtreon.com/creator/wwmm,"Steve Ramsey",Video,350,1799.5,month,0,,,,,
https://graphtreon.com/creator/OMGchad,OMGchad,Video,340,1143.76,month,0,,,,,
https://graphtreon.com/creator/asofterworld,"Emily Horne & Joey Comeau",,345,1198.72,month,0,,,,,
https://graphtreon.com/creator/laurenoconnell,"Lauren O'Connell",Music,339,1456.68,song,0,,,,,
https://graphtreon.com/creator/notinventedhere,"Not Invented Here",Comics,339,1060.5,"(currently on hiatus)",0,,,,,
https://graphtreon.com/creator/brucewillakers,"Robert Moran",Video,335,3021.7,month,0,,,,,
https://graphtreon.com/creator/pellekofficial,PelleK,Video,334,887.76,video,0,,,,,
https://graphtreon.com/creator/gaia,"Novil and Powree",Comics,334,1183,month,0,,,,,
https://graphtreon.com/creator/chipandironicus,"Chip and Ironicus",Video,328,2048,month,0,,,,,
