slug,patreon_url,keywords_count,keywords_found,Graphtreon,Name,Category,Patrons,Earnings,Range,Is Nsfw,Facebook Likes,Twitter Followers,Youtube Subscribers,Youtube Videos,Youtube Views
SarahWestall,https://www.patreon.com/SarahWestall/overview,1,journalist,https://graphtreon.com/creator/SarahWestall,Sarah Westall,Video,446,1709.4,month,0,1417,1630,43736,221,3728535
hardcoded,https://www.patreon.com/hardcoded/overview,1,investigation,https://graphtreon.com/creator/hardcoded,Fortunae Virgo,Adult Games,451,1137.33,month,1,,391,,,
yongyea,https://www.patreon.com/yongyea/overview,1,journalism,https://graphtreon.com/creator/yongyea,YongYea,Games,439,2138.33,month,0,12573,23541,450015,1911,108238664
shamusyoung,https://www.patreon.com/shamusyoung/overview,1,journalist,https://graphtreon.com/creator/shamusyoung,Shamus Young,Games,434,1767.75,month,0,,4749,14784,27,7223099
switchplayer,https://www.patreon.com/switchplayer/overview,1,journalist,https://graphtreon.com/creator/switchplayer,SwitchPlayer,Magazine,427,2650.16,Magazine,0,,,,,
tflcar,https://www.patreon.com/tflcar/overview,1,journalist,https://graphtreon.com/creator/tflcar,TFL -The Fast Lane,Video,406,1631.57,month,0,168780,9843,474162,772,261934533
onlyinjapan,https://www.patreon.com/onlyinjapan/overview,1,reporter,https://graphtreon.com/creator/onlyinjapan,ONLY in JAPAN,Video,396,3875.17,month,0,28664,2360,718831,114,81628063
JordanChariton,https://www.patreon.com/JordanChariton/overview,3,journalism;journalist;reporter,https://graphtreon.com/creator/JordanChariton,Jordan Chariton,Video,384,1530.79,chapter,0,1240,80817,12303,216,374253
streetwisehebrew,https://www.patreon.com/streetwisehebrew/overview,1,journalist,https://graphtreon.com/creator/streetwisehebrew,Streetwise Hebrew,Podcasts,400,,month,0,6224,1200,,,
EAPodcasts,https://www.patreon.com/EAPodcasts/overview,1,journalist,https://graphtreon.com/creator/EAPodcasts,Escape Artists Inc.,Podcasts,387,1688.28,month,0,53,1193,,,
Rpu,https://www.patreon.com/Rpu/overview,1,journalist,https://graphtreon.com/creator/Rpu,Daniel Andreyev,Podcasts,383,2099.27,month,0,,13133,,,
Thooorin,https://www.patreon.com/Thooorin/overview,1,journalist,https://graphtreon.com/creator/Thooorin,Thorin,Video,368,2376.18,month,0,23689,221416,252728,968,55201956
sprawlcalgary,https://www.patreon.com/sprawlcalgary/overview,3,journalism;journalist;reporting,https://graphtreon.com/creator/sprawlcalgary,The Sprawl,Video,376,2586.5,month,0,1773,4716,,,
dannyroddy,https://www.patreon.com/dannyroddy/overview,1,investigation,https://graphtreon.com/creator/dannyroddy,Dannyroddy.com,Video,363,,month,0,4622,2233,5941,77,665553
govtrack,https://www.patreon.com/govtrack/overview,2,journalist;reporting,https://graphtreon.com/creator/govtrack,GovTrack.us,,361,2271.21,month,0,37866,76330,,,
violetblue,https://www.patreon.com/violetblue/overview,2,journalism;reporting,https://graphtreon.com/creator/violetblue,Violet Blue,Writing,350,,month,0,,108452,,,
fullspectrumsurvival,https://www.patreon.com/fullspectrumsurvival/overview,1,reporting,https://graphtreon.com/creator/fullspectrumsurvival,Full Spectrum Survival - The News In Two Minutes,Video,344,,month,0,,,75448,220,3920244
JordanCharitonReports,https://www.patreon.com/JordanCharitonReports/overview,4,journalism;reporter;reporting;investigative,https://graphtreon.com/creator/JordanCharitonReports,Jordan Chariton,Video,335,1774.93,month,0,20381,80817,12303,216,374253
CycloneFanatic,https://www.patreon.com/CycloneFanatic/overview,2,journalism;journalist,https://graphtreon.com/creator/CycloneFanatic,CycloneFanatic.com,Video,339,1511.86,month,0,20580,20793,1155,1565,2230369
orkenspaltertv,https://www.patreon.com/orkenspaltertv/overview,1,journalist,https://graphtreon.com/creator/orkenspaltertv,Orkenspalter TV,Video,338,2899.21,month,0,3733,665,23089,1165,7792193
weirdthings,https://www.patreon.com/weirdthings/overview,1,investigation,https://graphtreon.com/creator/weirdthings,Weird Things,Podcasts,338,420.77,Episode,0,10665,2203,,,
ThisWeekInAtrocity,https://www.patreon.com/ThisWeekInAtrocity/overview,2,journalism;journalist,https://graphtreon.com/creator/ThisWeekInAtrocity,This Week In Atrocity,Podcasts,327,,month,0,392,,,,
truthandjustice,https://www.patreon.com/truthandjustice/overview,1,investigation,https://graphtreon.com/creator/truthandjustice,Truth & Justice Podcast,Podcasts,323,2019.08,month,0,19926,32628,,,
antischool,https://www.patreon.com/antischool/overview,2,journalism;investigative,https://graphtreon.com/creator/antischool,ANTI SCHOOL,,318,1432.49,month,0,,35792,,,
DigitalAntiquarian,https://www.patreon.com/DigitalAntiquarian/overview,1,journalism,https://graphtreon.com/creator/DigitalAntiquarian,Jimmy Maher,Games,321,695.7,article,0,,1172,,,
ericacbarnett,https://www.patreon.com/ericacbarnett/overview,3,journalism;journalist;reporter,https://graphtreon.com/creator/ericacbarnett,Erica,,308,,month,0,,,,,
dailypnut,https://www.patreon.com/dailypnut/overview,1,journalism,https://graphtreon.com/creator/dailypnut,Daily Pnut,,307,,month,0,11661,11670,,,
rightrichter,https://www.patreon.com/rightrichter/overview,1,reporting,https://graphtreon.com/creator/rightrichter,Will Sommer,,311,,month,0,,28821,,,
