patreon_url,dest_name,error
https://www.patreon.com/GassySparkle/overview,datadump/patreon/overviews/g/GassySparkle.html,404
https://www.patreon.com/mxdvsa/overview,datadump/patreon/overviews/m/mxdvsa.html,302
https://www.patreon.com/megamicupcake/overview,datadump/patreon/overviews/m/megamicupcake.html,302
https://www.patreon.com/bunnylafee/overview,datadump/patreon/overviews/b/bunnylafee.html,302
https://www.patreon.com/splendidcomics/overview,datadump/patreon/overviews/s/splendidcomics.html,302
https://www.patreon.com/adleystump/overview,datadump/patreon/overviews/a/adleystump.html,404
https://www.patreon.com/jennymilchman/overview,datadump/patreon/overviews/j/jennymilchman.html,302
https://www.patreon.com/12b3/overview,datadump/patreon/overviews/1/12b3.html,302
https://www.patreon.com/scootsaboot/overview,datadump/patreon/overviews/s/scootsaboot.html,302
https://www.patreon.com/distantskies/overview,datadump/patreon/overviews/d/distantskies.html,302
https://www.patreon.com/laurenpoor/overview,datadump/patreon/overviews/l/laurenpoor.html,302
https://www.patreon.com/heidi2524/overview,datadump/patreon/overviews/h/heidi2524.html,302
https://www.patreon.com/travismcbee/overview,datadump/patreon/overviews/t/travismcbee.html,302
https://www.patreon.com/LeoMendozaOfficial/overview,datadump/patreon/overviews/l/LeoMendozaOfficial.html,302
https://www.patreon.com/storiesofanunschoolingfamily/overview,datadump/patreon/overviews/s/storiesofanunschoolingfamily.html,302
https://www.patreon.com/TGxKing/overview,datadump/patreon/overviews/t/TGxKing.html,404
https://www.patreon.com/francinecaroline/overview,datadump/patreon/overviews/f/francinecaroline.html,404
https://www.patreon.com/TheChocoFox/overview,datadump/patreon/overviews/t/TheChocoFox.html,302
https://www.patreon.com/coytechlabs/overview,datadump/patreon/overviews/c/coytechlabs.html,302
https://www.patreon.com/audioexcite/overview,datadump/patreon/overviews/a/audioexcite.html,301
https://www.patreon.com/elitecosplay/overview,datadump/patreon/overviews/e/elitecosplay.html,302
https://www.patreon.com/casual_lumi/overview,datadump/patreon/overviews/c/casual_lumi.html,302
https://www.patreon.com/HAC_Senate/overview,datadump/patreon/overviews/h/HAC_Senate.html,302
https://www.patreon.com/BrigusABDL/overview,datadump/patreon/overviews/b/BrigusABDL.html,302
https://www.patreon.com/endstone/overview,datadump/patreon/overviews/e/endstone.html,302
https://www.patreon.com/Emenius/overview,datadump/patreon/overviews/e/Emenius.html,302
https://www.patreon.com/Czecher/overview,datadump/patreon/overviews/c/Czecher.html,302
https://www.patreon.com/kwikspot/overview,datadump/patreon/overviews/k/kwikspot.html,302
https://www.patreon.com/cn_lucy/overview,datadump/patreon/overviews/c/cn_lucy.html,302
https://www.patreon.com/daxsha/overview,datadump/patreon/overviews/d/daxsha.html,302
https://www.patreon.com/morgen/overview,datadump/patreon/overviews/m/morgen.html,302
https://www.patreon.com/LACBP/overview,datadump/patreon/overviews/l/LACBP.html,404
https://www.patreon.com/jeongmihyo/overview,datadump/patreon/overviews/j/jeongmihyo.html,302
https://www.patreon.com/geckozen/overview,datadump/patreon/overviews/g/geckozen.html,302
https://www.patreon.com/ynorbara/overview,datadump/patreon/overviews/y/ynorbara.html,302
https://www.patreon.com/BodyRebootedFitness/overview,datadump/patreon/overviews/b/BodyRebootedFitness.html,404
https://www.patreon.com/ALOSart/overview,datadump/patreon/overviews/a/ALOSart.html,302
https://www.patreon.com/BeemansRepublic/overview,datadump/patreon/overviews/b/BeemansRepublic.html,302
https://www.patreon.com/livingevergreen/overview,datadump/patreon/overviews/l/livingevergreen.html,404
https://www.patreon.com/runawayballista/overview,datadump/patreon/overviews/r/runawayballista.html,302
https://www.patreon.com/MinyandFriends/overview,datadump/patreon/overviews/m/MinyandFriends.html,302
https://www.patreon.com/wickedserum/overview,datadump/patreon/overviews/w/wickedserum.html,302
https://www.patreon.com/gahhmodels/overview,datadump/patreon/overviews/g/gahhmodels.html,302
https://www.patreon.com/Victoriamh/overview,datadump/patreon/overviews/v/Victoriamh.html,302
https://www.patreon.com/XodiaLunaVA/overview,datadump/patreon/overviews/x/XodiaLunaVA.html,302
https://www.patreon.com/shinepaw/overview,datadump/patreon/overviews/s/shinepaw.html,302
https://www.patreon.com/warpwhistlegaming/overview,datadump/patreon/overviews/w/warpwhistlegaming.html,302
https://www.patreon.com/mdaines/overview,datadump/patreon/overviews/m/mdaines.html,302
https://www.patreon.com/emmajupitercosplay/overview,datadump/patreon/overviews/e/emmajupitercosplay.html,302
https://www.patreon.com/jakobappel/overview,datadump/patreon/overviews/j/jakobappel.html,302
https://www.patreon.com/ignotacomic/overview,datadump/patreon/overviews/i/ignotacomic.html,302
https://www.patreon.com/Monzana21/overview,datadump/patreon/overviews/m/Monzana21.html,404
https://www.patreon.com/godri/overview,datadump/patreon/overviews/g/godri.html,404
https://www.patreon.com/Sly/overview,datadump/patreon/overviews/s/Sly.html,302
https://www.patreon.com/PapersPencilsBaskets/overview,datadump/patreon/overviews/p/PapersPencilsBaskets.html,302
